year,ncessch,ncessch_num,leaid,fips,grade,race,sex,enrollment
1987,172058002325,172058002325,1720580,17,99,99,99,304.0
1994,411197000702,411197000702,4111970,41,99,2,99,0.0
2007,481953001808,481953001808,4819530,48,5,1,99,16.0
2018,60297000224,60297000224,602970,6,1,2,99,1.0
2010,410852000858,410852000858,4108520,41,1,2,2,1.0
2014,360984000761,360984000761,3609840,36,12,3,2,15.0
2010,261560008159,261560008159,2615600,26,12,6,2,0.0
2017,63488011771,63488011771,634880,6,1,1,2,63.0
1999,390448001664,390448001664,3904480,39,15,2,99,0.0
2014,120015000096,120015000096,1200150,12,8,1,99,100.0
2000,420351000062,420351000062,4203510,42,12,99,99,444.0
2006,402493001312,402493001312,4024930,40,15,99,2,0.0
2018,490015501407,490015501407,4900155,49,10,4,2,0.0
2000,484257004868,484257004868,4842570,48,99,2,1,0.0
2014,90405000003,90405000003,904050,9,3,3,2,4.0
2001,260495004183,260495004183,2604950,26,5,1,1,23.0
2017,481623006930,481623006930,4816230,48,9,6,99,0.0
2007,10339001287,10339001287,103390,1,99,99,99,404.0
2007,50948000595,50948000595,509480,5,0,1,99,16.0
2001,60002709497,60002709497,600027,6,1,5,2,0.0
2006,292280001266,292280001266,2922800,29,99,2,1,49.0
2009,481623001381,481623001381,4816230,48,1,1,99,0.0
2008,160264000760,160264000760,1602640,16,6,99,99,34.0
2001,370012000037,370012000037,3700120,37,99,3,99,6.0
2012,370414001665,370414001665,3704140,37,2,4,2,0.0
2013,360009102280,360009102280,3600091,36,5,2,2,9.0
2015,62271003239,62271003239,622710,6,5,3,1,40.0
2009,130033003586,130033003586,1300330,13,2,4,99,0.0
2008,240009000148,240009000148,2400090,24,-1,6,1,-2.0
1999,190705000316,190705000316,1907050,19,1,2,2,0.0
2006,271119002657,271119002657,2711190,27,99,2,2,0.0
2007,40253000187,40253000187,402530,4,10,4,1,1.0
2011,290825002810,290825002810,2908250,29,9,1,99,0.0
2010,340008903131,340008903131,3400089,34,10,3,99,0.0
2016,510004501948,510004501948,5100045,51,3,5,2,0.0
2003,250426000573,250426000573,2504260,25,3,99,99,112.0
2011,191878001103,191878001103,1918780,19,99,5,1,0.0
2003,340240000046,340240000046,3402400,34,8,4,1,0.0
2012,540120000922,540120000922,5401200,54,1,6,2,0.0
2010,422364001438,422364001438,4223640,42,2,3,99,1.0
2007,370021002704,370021002704,3700210,37,99,3,1,21.0
2015,350015800883,350015800883,3500158,35,99,2,2,0.0
2017,90507001061,90507001061,905070,9,0,1,1,19.0
2001,90075000128,90075000128,900750,9,5,99,99,2.0
2018,360012202119,360012202119,3600122,36,6,99,9,0.0
2001,480011708241,480011708241,4800117,48,4,3,1,2.0
2013,310399002213,310399002213,3103990,31,99,6,99,0.0
2000,330476000283,330476000283,3304760,33,4,2,99,0.0
2004,361428001174,361428001174,3614280,36,3,99,1,54.0
2000,63942006576,63942006576,639420,6,11,1,1,121.0
2004,130261003403,130261003403,1302610,13,11,4,1,0.0
2016,530570002039,530570002039,5305700,53,6,99,1,0.0
2000,350111000662,350111000662,3501110,35,12,99,1,12.0
2008,292928001879,292928001879,2929280,29,2,3,99,0.0
2003,480894000364,480894000364,4808940,48,3,2,1,6.0
2014,120108001155,120108001155,1201080,12,1,6,1,0.0
2016,120171001879,120171001879,1201710,12,0,99,9,0.0
2018,240057001202,240057001202,2400570,24,4,6,2,
2004,40423000334,40423000334,404230,4,7,4,1,10.0
2008,80480000762,80480000762,804800,8,8,3,2,66.0
2005,390442901230,390442901230,3904429,39,99,99,2,106.0
2014,240051000512,240051000512,2400510,24,2,4,1,6.0
2003,130123000471,130123000471,1301230,13,5,1,99,1.0
2010,362856003845,362856003845,3628560,36,99,99,1,171.0
2006,291614000744,291614000744,2916140,29,3,3,2,0.0
2006,50007701159,50007701159,500077,5,99,1,2,55.0
2014,240006000049,240006000049,2400060,24,3,7,1,0.0
2010,262994006571,262994006571,2629940,26,0,3,2,3.0
2001,317284001851,317284001851,3172840,31,1,5,2,0.0
2014,530354000557,530354000557,5303540,53,-1,99,1,16.0
2018,50279001536,50279001536,502790,5,8,9,9,0.0
2001,530870001493,530870001493,5308700,53,-1,99,1,3.0
2010,420321004325,420321004325,4203210,42,3,7,2,0.0
2012,62271003109,62271003109,622710,6,12,7,99,0.0
2017,64119003964,64119003964,641190,6,3,4,2,1.0
2009,390446001480,390446001480,3904460,39,1,4,99,1.0
2013,450072000050,450072000050,4500720,45,99,99,1,360.0
2010,470396001610,470396001610,4703960,47,3,7,2,0.0
2002,330687000444,330687000444,3306870,33,0,4,2,0.0
2010,421140000179,421140000179,4211400,42,4,4,99,0.0
2003,363078004143,363078004143,3630780,36,4,99,1,27.0
2015,341533002432,341533002432,3415330,34,3,1,2,42.0
1999,482364002420,482364002420,4823640,48,0,5,2,0.0
2017,360110206414,360110206414,3601102,36,6,3,2,0.0
2011,390437800434,390437800434,3904378,39,6,5,2,0.0
2013,64074006720,64074006720,640740,6,99,4,1,32.0
2002,290735000196,290735000196,2907350,29,5,99,99,237.0
2005,300382000966,300382000966,3003820,30,7,99,2,28.0
1991,340126002722,340126002722,3401260,34,-1,99,99,51.0
2016,260110304838,260110304838,2601103,26,2,7,2,
2014,120126003733,120126003733,1201260,12,9,1,99,7.0
2016,261962005626,261962005626,2619620,26,2,3,1,0.0
2016,120048000425,120048000425,1200480,12,8,3,99,1.0
2016,551599002087,551599002087,5515990,55,1,5,1,
2013,170543000222,170543000222,1705430,17,0,3,1,2.0
2004,551449001874,551449001874,5514490,55,4,99,99,69.0
2010,340405004606,340405004606,3404050,34,6,99,1,5.0
2001,400972000417,400972000417,4009720,40,15,2,1,0.0
2007,301887000588,301887000588,3018870,30,3,4,2,0.0
2006,120015000090,120015000090,1200150,12,99,3,2,50.0
2012,62271003111,62271003111,622710,6,3,7,2,0.0
2001,500249000056,500249000056,5002490,50,15,5,2,0.0
2015,360437004801,360437004801,3604370,36,10,5,99,0.0
2014,480870009033,480870009033,4808700,48,2,5,1,0.0
2011,550960001135,550960001135,5509600,55,5,6,99,0.0
2018,390449004559,390449004559,3904490,39,7,99,1,15.0
1999,370297001197,370297001197,3702970,37,4,4,99,2.0
2007,481881001757,481881001757,4818810,48,10,99,99,319.0
2006,390437500385,390437500385,3904375,39,6,1,99,0.0
1999,291047000346,291047000346,2910470,29,0,2,99,0.0
2016,90117000180,90117000180,901170,9,2,99,1,26.0
2017,170993005916,170993005916,1709930,17,11,1,99,0.0
2015,120102007711,120102007711,1201020,12,99,7,2,0.0
2018,60218714269,60218714269,602187,6,11,2,99,0.0
2015,362580003544,362580003544,3625800,36,1,99,2,24.0
2018,130084000333,130084000333,1300840,13,2,4,99,0.0
2007,361752001563,361752001563,3617520,36,2,4,99,2.0
2007,481602001174,481602001174,4816020,48,12,5,1,0.0
2012,390144005667,390144005667,3901440,39,11,4,2,0.0
2015,63023004717,63023004717,630230,6,3,5,2,0.0
1992,530666000977,530666000977,5306660,53,1,99,99,28.0
2005,360009504883,360009504883,3600095,36,1,1,99,1.0
2008,190897000570,190897000570,1908970,19,99,99,2,206.0
2017,170993001116,170993001116,1709930,17,4,7,1,
2009,260013200782,260013200782,2600132,26,0,6,99,0.0
2016,172250002508,172250002508,1722500,17,9,7,1,6.0
2006,60327000245,60327000245,603270,6,8,4,99,5.0
1999,320051000261,320051000261,3200510,32,2,5,2,0.0
2010,270017403042,270017403042,2700174,27,6,2,99,0.0
2003,220072000511,220072000511,2200720,22,9,2,1,9.0
2018,510126000570,510126000570,5101260,51,0,4,2,2.0
2017,483432003820,483432003820,4834320,48,3,4,99,4.0
2011,292685001626,292685001626,2926850,29,1,6,99,0.0
2007,10169000580,10169000580,101690,1,99,1,2,168.0
2015,200658000717,200658000717,2006580,20,99,5,99,1.0
2013,341824001294,341824001294,3418240,34,3,7,99,0.0
2013,50384000132,50384000132,503840,5,8,99,2,13.0
2017,80351000459,80351000459,803510,8,9,99,9,0.0
2017,120153003251,120153003251,1201530,12,-1,9,9,0.0
2018,484110004676,484110004676,4841100,48,99,4,1,39.0
2013,550087000119,550087000119,5500870,55,1,7,2,1.0
2012,420555002212,420555002212,4205550,42,99,4,2,2.0
2009,130462000003,130462000003,1304620,13,0,99,1,88.0
2008,720003000683,720003000683,7200030,72,2,5,1,0.0
2012,240003001338,240003001338,2400030,24,2,5,2,0.0
2016,420858001705,420858001705,4208580,42,2,99,1,71.0
2018,720003001925,720003001925,7200030,72,6,1,1,
2009,350021000728,350021000728,3500210,35,0,2,1,0.0
2004,170009805219,170009805219,1700098,17,5,5,2,0.0
2013,130111004033,130111004033,1301110,13,6,7,99,1.0
2001,40396000317,40396000317,403960,4,5,2,1,3.0
2018,240069001303,240069001303,2400690,24,99,4,2,6.0
2017,291524000693,291524000693,2915240,29,7,99,1,0.0
2017,20062500295,20062500295,200625,2,4,1,1,0.0
2015,130495001674,130495001674,1304950,13,0,1,99,0.0
2018,63348010033,63348010033,633480,6,1,9,9,0.0
2018,10039000201,10039000201,100390,1,7,2,1,19.0
2009,550819000904,550819000904,5508190,55,5,1,99,103.0
2013,420993006419,420993006419,4209930,42,7,6,1,0.0
2015,160177000904,160177000904,1601770,16,3,5,1,0.0
2008,40037302397,40037302397,400373,4,0,3,99,3.0
2015,720003001985,720003001985,7200030,72,7,4,99,0.0
1998,318004001960,318004001960,3180040,31,4,3,1,0.0
2011,120177001925,120177001925,1201770,12,1,5,99,2.0
2017,210186000383,210186000383,2101860,21,10,4,99,10.0
2018,481218011448,481218011448,4812180,48,5,99,2,63.0
2012,90450000906,90450000906,904500,9,-1,6,99,1.0
2012,173016003116,173016003116,1730160,17,0,4,99,1.0
2018,402529001341,402529001341,4025290,40,4,4,2,
2014,317852001702,317852001702,3178520,31,9,2,99,2.0
2015,260495001328,260495001328,2604950,26,2,2,1,0.0
2017,193051001743,193051001743,1930510,19,99,3,2,18.0
2010,484122004717,484122004717,4841220,48,4,4,99,2.0
2003,362475003363,362475003363,3624750,36,12,2,1,44.0
2017,263138000151,263138000151,2631380,26,11,99,9,0.0
2011,401884000895,401884000895,4018840,40,8,99,99,112.0
1999,450339000969,450339000969,4503390,45,1,4,2,1.0
2000,480011508239,480011508239,4800115,48,7,3,99,0.0
2013,230378023129,230378023129,2303780,23,5,99,2,78.0
2012,550744002554,550744002554,5507440,55,9,7,1,0.0
1988,390487503389,390487503389,3904875,39,99,3,99,3.0
2010,370036002285,370036002285,3700360,37,-1,1,2,7.0
2003,410002301172,410002301172,4100023,41,99,1,2,-1.0
1991,390436700213,390436700213,3904367,39,99,99,99,337.0
2011,403348001851,403348001851,4033480,40,99,5,99,49.0
1998,450261000696,450261000696,4502610,45,3,4,2,0.0
2008,360008802336,360008802336,3600088,36,99,5,1,5.0
2011,120150003468,120150003468,1201500,12,99,7,2,12.0
2012,470402001667,470402001667,4704020,47,1,3,2,6.0
2016,482364002526,482364002526,4823640,48,3,4,99,14.0
2005,340561003804,340561003804,3405610,34,9,4,1,32.0
2006,150003000240,150003000240,1500030,15,5,99,1,47.0
2012,421833007221,421833007221,4218330,42,4,6,99,0.0
2017,120126002518,120126002518,1201260,12,2,99,99,113.0
2014,260672007511,260672007511,2606720,26,4,5,1,0.0
2009,361851001667,361851001667,3618510,36,99,7,1,-2.0
2004,460000200424,460000200424,4600002,46,11,2,1,0.0
2016,63311005121,63311005121,633110,6,3,5,99,0.0
2007,61668002093,61668002093,616680,6,4,2,2,19.0
2014,63417009434,63417009434,634170,6,5,6,1,0.0
2013,263342006877,263342006877,2633420,26,2,99,99,35.0
1998,80480000693,80480000693,804800,8,7,3,99,0.0
2012,530042000110,530042000110,5300420,53,1,6,99,0.0
2003,390479903068,390479903068,3904799,39,2,5,99,0.0
2015,80690001182,80690001182,806900,8,0,6,1,0.0
1995,61674002110,61674002110,616740,6,6,99,99,77.0
2009,262721006334,262721006334,2627210,26,0,1,1,-2.0
2013,480887000281,480887000281,4808870,48,2,6,99,0.0
2007,390027104811,390027104811,3900271,39,6,1,2,1.0
1994,720003000132,720003000132,7200030,72,5,99,99,18.0
2012,250741001146,250741001146,2507410,25,11,4,1,6.0
1986,510189000835,510189000835,5101890,51,15,99,99,18.0
2000,402172001072,402172001072,4021720,40,-1,3,1,0.0
2016,250309002655,250309002655,2503090,25,15,6,2,0.0
2003,530540000809,530540000809,5305400,53,1,99,1,44.0
2006,130306001264,130306001264,1303060,13,2,1,2,11.0
2017,421776006346,421776006346,4217760,42,6,99,1,117.0
2018,551077000683,551077000683,5510770,55,6,3,2,5.0
2011,40084503242,40084503242,400845,4,12,6,2,0.0
2018,220180001401,220180001401,2201800,22,1,9,99,0.0
1998,180657001156,180657001156,1806570,18,2,1,2,16.0
2007,40100000052,40100000052,401000,4,99,1,1,86.0
2006,63393005327,63393005327,633930,6,4,1,1,1.0
2014,250294000361,250294000361,2502940,25,11,5,99,0.0
2012,470372001533,470372001533,4703720,47,4,2,99,0.0
2002,390437800429,390437800429,3904378,39,9,2,99,1.0
2002,470381001587,470381001587,4703810,47,11,99,1,0.0
1999,262313000935,262313000935,2623130,26,11,4,1,0.0
2016,80354006422,80354006422,803540,8,7,99,1,16.0
2008,720003000317,720003000317,7200030,72,1,2,2,0.0
2017,268099008165,268099008165,2680990,26,9,3,1,0.0
2011,470318002255,470318002255,4703180,47,1,3,99,0.0
2008,263021006615,263021006615,2630210,26,2,7,2,-2.0
2006,510189000820,510189000820,5101890,51,4,1,2,32.0
1989,430003001000,430003001000,4300030,43,15,99,99,4.0
2015,551599002088,551599002088,5515990,55,1,99,2,18.0
1987,200797000588,200797000588,2007970,20,6,99,99,2.0
2017,40011203279,40011203279,400112,4,0,5,99,1.0
2003,450144000197,450144000197,4501440,45,2,4,1,0.0
2016,40078302932,40078302932,400783,4,9,4,1,0.0
2011,180219000262,180219000262,1802190,18,4,4,2,0.0
2011,63852011691,63852011691,638520,6,9,5,99,0.0
2006,370108000451,370108000451,3701080,37,8,1,1,78.0
2015,560215000037,560215000037,5602150,56,6,5,1,1.0
2001,510324001365,510324001365,5103240,51,99,99,2,207.0
2008,292001001068,292001001068,2920010,29,-1,2,1,15.0
2010,240012000448,240012000448,2400120,24,6,2,2,87.0
2014,62250002716,62250002716,622500,6,0,4,1,7.0
2005,390483403215,390483403215,3904834,39,4,2,1,0.0
2011,280383001333,280383001333,2803830,28,5,5,99,0.0
2001,60948008428,60948008428,609480,6,0,99,1,0.0
1991,62523003772,62523003772,625230,6,1,99,99,7.0
2017,270293000065,270293000065,2702930,27,0,5,2,
2007,370009000032,370009000032,3700090,37,0,4,1,0.0
2004,181134001826,181134001826,1811340,18,0,5,99,0.0
2015,484380021360,484380021360,4843800,48,10,4,2,0.0
2006,370333001385,370333001385,3703330,37,0,99,99,106.0
2016,360013502859,360013502859,3600135,36,6,1,1,0.0
2005,362637003613,362637003613,3626370,36,7,1,2,95.0
2017,510084002056,510084002056,5100840,51,2,2,1,17.0
2017,470359001484,470359001484,4703590,47,9,4,99,0.0
2008,261716005397,261716005397,2617160,26,2,7,99,0.0
1999,481830001710,481830001710,4818300,48,1,1,2,4.0
2009,340462002538,340462002538,3404620,34,4,5,1,1.0
2005,390437500379,390437500379,3904375,39,2,99,1,24.0
2007,510267001146,510267001146,5102670,51,2,4,1,1.0
2018,360009102243,360009102243,3600091,36,0,4,99,3.0
2018,250954001514,250954001514,2509540,25,3,99,2,3.0
2017,320006000054,320006000054,3200060,32,3,99,2,42.0
2001,370027000072,370027000072,3700270,37,2,3,99,6.0
2015,61152001287,61152001287,611520,6,8,4,99,14.0
2003,20067000308,20067000308,200670,2,11,5,2,0.0
2018,341134002248,341134002248,3411340,34,3,2,1,0.0
2017,270579000227,270579000227,2705790,27,5,6,1,
2005,51266001027,51266001027,512660,5,4,5,2,1.0
2007,261452001812,261452001812,2614520,26,0,2,2,3.0
2000,422109002476,422109002476,4221090,42,2,2,2,-1.0
2016,271006000426,271006000426,2710060,27,1,6,99,0.0
2008,400357000093,400357000093,4003570,40,8,4,1,0.0
2008,61455008841,61455008841,614550,6,99,6,2,1.0
1991,220153001945,220153001945,2201530,22,99,5,99,0.0
1996,421596006929,421596006929,4215960,42,99,3,99,1.0
2001,90156000275,90156000275,901560,9,5,5,99,0.0
2004,481776001546,481776001546,4817760,48,5,2,1,0.0
2018,290990001389,290990001389,2909900,29,7,5,1,
2013,69101712301,69101712301,691017,6,2,1,99,1.0
2015,480013308280,480013308280,4800133,48,12,3,1,18.0
2001,63066004758,63066004758,630660,6,15,5,1,1.0
2016,480771007917,480771007917,4807710,48,9,2,2,27.0
2001,550906000660,550906000660,5509060,55,1,5,2,0.0
2018,60225913763,60225913763,602259,6,6,99,9,0.0
2006,540060000353,540060000353,5400600,54,-1,5,2,0.0
2003,62211008877,62211008877,622110,6,12,1,2,21.0
2007,63888010110,63888010110,638880,6,99,5,2,2.0
2006,291635000783,291635000783,2916350,29,3,99,1,19.0
2003,382040000718,382040000718,3820400,38,99,2,1,0.0
2000,510234000968,510234000968,5102340,51,99,2,2,76.0
2005,120018000189,120018000189,1200180,12,2,5,2,0.0
2006,270002502906,270002502906,2700025,27,3,1,99,0.0
2018,490036001399,490036001399,4900360,49,11,5,99,1.0
2016,160066000134,160066000134,1600660,16,8,4,99,0.0
1999,362058002236,362058002236,3620580,36,4,3,1,27.0
2005,410333000345,410333000345,4103330,41,7,4,99,0.0
1998,173441003534,173441003534,1734410,17,1,3,2,3.0
2005,64233011548,64233011548,642330,6,5,5,1,0.0
1999,390468704246,390468704246,3904687,39,5,2,2,0.0
2012,360015202378,360015202378,3600152,36,2,3,99,7.0
2007,120198004144,120198004144,1201980,12,6,5,1,0.0
2014,63488005895,63488005895,634880,6,7,3,2,95.0
1993,63963006598,63963006598,639630,6,2,99,99,85.0
2013,483873004331,483873004331,4838730,48,99,7,1,4.0
2016,69103110651,69103110651,691031,6,1,9,99,0.0
2006,120144001442,120144001442,1201440,12,5,1,1,0.0
2017,360009102243,360009102243,3600091,36,2,1,99,3.0
2006,421899003800,421899003800,4218990,42,3,99,1,88.0
2010,270023100773,270023100773,2700231,27,10,2,1,1.0
2009,10099001323,10099001323,100990,1,10,99,1,0.0
2000,483162003529,483162003529,4831620,48,4,1,2,4.0
2005,210306000806,210306000806,2103060,21,3,4,99,0.0
2011,390437800424,390437800424,3904378,39,8,1,1,24.0
1998,80540000928,80540000928,805400,8,4,4,1,-1.0
1999,260369001158,260369001158,2603690,26,2,2,99,2.0
2015,40880000873,40880000873,408800,4,99,4,2,0.0
2014,250006001439,250006001439,2500060,25,0,4,99,4.0
2006,250279000312,250279000312,2502790,25,8,5,99,0.0
2015,173414003502,173414003502,1734140,17,8,7,2,0.0
2014,420011500738,420011500738,4200115,42,12,5,2,0.0
2017,10169000582,10169000582,101690,1,3,2,2,0.0
2002,320006000107,320006000107,3200060,32,99,3,99,1402.0
1999,580001000173,580001000173,5800010,58,99,4,99,54.0
2007,50948000595,50948000595,509480,5,5,3,99,0.0
2018,380002100825,380002100825,3800021,38,4,1,2,7.0
2011,401035000457,401035000457,4010350,40,7,2,99,8.0
2002,200888001102,200888001102,2008880,20,11,99,99,30.0
1999,292349001360,292349001360,2923490,29,3,5,99,0.0
2018,362952003981,362952003981,3629520,36,7,6,2,1.0
2010,64245006943,64245006943,642450,6,0,99,2,44.0
2015,320009000347,320009000347,3200090,32,4,2,2,0.0
2000,200795001421,200795001421,2007950,20,99,1,1,113.0
2007,450363001031,450363001031,4503630,45,2,4,2,2.0
2015,60002809499,60002809499,600028,6,15,99,1,10.0
2006,370003000009,370003000009,3700030,37,10,1,99,82.0
2012,330396000525,330396000525,3303960,33,5,5,1,0.0
2013,470288001001,470288001001,4702880,47,5,3,99,0.0
2014,120087000980,120087000980,1200870,12,1,2,2,17.0
2011,200528000986,200528000986,2005280,20,7,5,2,0.0
2005,130462000003,130462000003,1304620,13,2,4,99,1.0
2012,481623001294,481623001294,4816230,48,2,3,1,43.0
1993,220117000974,220117000974,2201170,22,2,99,99,108.0
2016,10027000013,10027000013,100270,1,9,99,1,0.0
1998,250861001367,250861001367,2508610,25,0,5,1,0.0
2004,63432010637,63432010637,634320,6,99,5,99,0.0
2016,551575002661,551575002661,5515750,55,99,4,99,1.0
1995,200396000166,200396000166,2003960,20,99,5,99,8.0
2018,130012000052,130012000052,1300120,13,1,6,2,0.0
2016,360102806237,360102806237,3601028,36,6,7,99,1.0
2005,262954006541,262954006541,2629540,26,2,4,2,0.0
2010,317802000883,317802000883,3178020,31,1,1,2,0.0
2017,360009902129,360009902129,3600099,36,4,7,2,1.0
2012,173963004003,173963004003,1739630,17,11,99,99,27.0
1986,362469003357,362469003357,3624690,36,3,99,99,71.0
2008,720003000662,720003000662,7200030,72,15,7,2,-2.0
2002,590000900067,590000900067,5900009,59,5,5,2,-1.0
2006,231467000779,231467000779,2314670,23,5,2,99,2.0
2015,410198001454,410198001454,4101980,41,4,99,99,33.0
2000,120123001219,120123001219,1201230,12,0,1,99,102.0
2018,530870001501,530870001501,5308700,53,-1,9,99,0.0
2012,482566006282,482566006282,4825660,48,2,2,99,56.0
2005,370282001154,370282001154,3702820,37,5,99,99,95.0
2018,401725000808,401725000808,4017250,40,2,4,1,1.0
1993,362127003028,362127003028,3621270,36,99,99,99,617.0
1992,341824001294,341824001294,3418240,34,2,99,99,18.0
2005,120174003660,120174003660,1201740,12,12,3,1,0.0
2004,40026702091,40026702091,400267,4,12,3,1,0.0
2003,40750000633,40750000633,407500,4,1,99,1,7.0
2017,231191001056,231191001056,2311910,23,2,1,2,1.0
2008,90240000450,90240000450,902400,9,99,1,1,82.0
2003,390451302036,390451302036,3904513,39,2,5,99,0.0
2002,62271003416,62271003416,622710,6,3,1,1,8.0
2013,40831000769,40831000769,408310,4,1,99,99,97.0
2017,400077402862,400077402862,4000774,40,11,4,1,1.0
2015,40852003206,40852003206,408520,4,10,4,2,6.0
2012,550663000718,550663000718,5506630,55,2,3,99,1.0
2002,171047005498,171047005498,1710470,17,2,5,1,0.0
1999,530492000745,530492000745,5304920,53,99,1,2,0.0
2016,270004304316,270004304316,2700043,27,6,1,2,
2011,90102000150,90102000150,901020,9,9,5,99,1.0
2013,390438000715,390438000715,3904380,39,-1,6,99,0.0
2015,530480002456,530480002456,5304800,53,3,3,1,0.0
2016,490021000242,490021000242,4900210,49,6,2,1,1.0
2001,273381001548,273381001548,2733810,27,99,99,1,318.0
2012,290002203043,290002203043,2900022,29,8,2,2,0.0
2018,173451003607,173451003607,1734510,17,99,9,99,0.0
1999,120105003595,120105003595,1201050,12,0,2,2,1.0
2011,360010205511,360010205511,3600102,36,15,3,99,5.0
1998,720003000136,720003000136,7200030,72,99,99,1,0.0
2017,10343001304,10343001304,103430,1,4,1,2,0.0
1999,120144001386,120144001386,1201440,12,5,99,1,78.0
2014,80720001226,80720001226,807200,8,3,3,1,2.0
2012,390000104682,390000104682,3900001,39,2,3,1,0.0
2018,490003000740,490003000740,4900030,49,10,6,2,0.0
1991,362880003908,362880003908,3628800,36,7,99,99,26.0
2017,390144905692,390144905692,3901449,39,99,6,99,0.0
2011,120042007959,120042007959,1200420,12,-1,7,2,-1.0
2003,470000101934,470000101934,4700001,47,8,5,2,-1.0
2009,250627000904,250627000904,2506270,25,3,3,2,34.0
1998,190324000016,190324000016,1903240,19,11,1,2,12.0
2015,480014108325,480014108325,4800141,48,-1,7,1,2.0
2016,60714000655,60714000655,607140,6,4,1,1,8.0
2018,120138001350,120138001350,1201380,12,4,3,2,4.0
2018,40036103312,40036103312,400361,4,1,99,2,29.0
2017,490036000210,490036000210,4900360,49,12,2,1,5.0
2015,370472002033,370472002033,3704720,37,5,2,99,24.0
2014,110003000191,110003000191,1100030,11,7,2,99,122.0
1986,482139006112,482139006112,4821390,48,2,99,99,118.0
2014,483336003745,483336003745,4833360,48,8,5,99,0.0
2018,350003000004,350003000004,3500030,35,5,99,1,24.0
2015,360010202022,360010202022,3600102,36,9,7,99,8.0
2016,540084000705,540084000705,5400840,54,9,6,2,0.0
2009,482566002871,482566002871,4825660,48,99,4,99,77.0
2014,391002901894,391002901894,3910029,39,3,7,99,3.0
2010,370114003119,370114003119,3701140,37,3,5,99,0.0
2015,90144000236,90144000236,901440,9,2,5,99,0.0
2011,403033001688,403033001688,4030330,40,4,7,99,0.0
2016,63942006575,63942006575,639420,6,2,5,99,0.0
2016,250399000536,250399000536,2503990,25,99,4,1,6.0
2000,530231002783,530231002783,5302310,53,10,3,99,0.0
2010,483774004230,483774004230,4837740,48,6,5,2,0.0
2003,174333004328,174333004328,1743330,17,8,99,99,200.0
2001,90153000261,90153000261,901530,9,5,2,2,1.0
2009,362514005836,362514005836,3625140,36,6,7,1,-2.0
2009,120087000939,120087000939,1200870,12,99,6,2,-2.0
2001,130375002418,130375002418,1303750,13,10,99,1,55.0
2003,273270001413,273270001413,2732700,27,9,5,1,0.0
2017,293153002486,293153002486,2931530,29,5,6,99,0.0
1995,80306000246,80306000246,803060,8,1,99,99,41.0
2004,40010501587,40010501587,400105,4,8,5,2,0.0
2011,10248001049,10248001049,102480,1,1,1,2,0.0
2011,510324001372,510324001372,5103240,51,-1,7,1,0.0
2005,500864000363,500864000363,5008640,50,99,99,1,101.0
2013,201226001474,201226001474,2012260,20,6,5,99,3.0
2008,261200001925,261200001925,2612000,26,10,2,2,11.0
2010,181086001770,181086001770,1810860,18,0,99,1,17.0
2000,120132003618,120132003618,1201320,12,99,99,1,6.0
2018,80435000610,80435000610,804350,8,2,7,2,4.0
2006,490009000060,490009000060,4900090,49,99,99,2,274.0
2002,362517003482,362517003482,3625170,36,2,99,2,30.0
2004,500000400519,500000400519,5000004,50,1,1,99,0.0
2014,120156001647,120156001647,1201560,12,12,3,99,46.0
2001,90279000547,90279000547,902790,9,10,1,2,1.0
2018,360972000747,360972000747,3609720,36,8,3,2,0.0
2015,270007303604,270007303604,2700073,27,2,99,2,0.0
2006,360618002838,360618002838,3606180,36,6,2,2,1.0
2014,160036000074,160036000074,1600360,16,4,6,1,0.0
2000,220117000898,220117000898,2201170,22,9,3,2,4.0
2012,483483007467,483483007467,4834830,48,9,5,2,0.0
2006,171455001806,171455001806,1714550,17,-1,99,2,18.0
2013,280327000640,280327000640,2803270,28,3,1,1,10.0
2017,180648001125,180648001125,1806480,18,4,99,99,74.0
1988,262991006563,262991006563,2629910,26,99,4,99,5.0
2008,610000300002,610000300002,6100003,61,4,5,2,1.0
2007,120150001527,120150001527,1201500,12,99,1,1,362.0
2000,180540000972,180540000972,1805400,18,99,4,2,2.0
1998,481524007233,481524007233,4815240,48,12,2,2,0.0
2014,120150001527,120150001527,1201500,12,9,5,2,0.0
2002,510371001629,510371001629,5103710,51,99,99,1,189.0
2016,370192000963,370192000963,3701920,37,99,9,99,0.0
2009,120039003975,120039003975,1200390,12,99,5,99,0.0
2008,360963000734,360963000734,3609630,36,7,3,1,2.0
1998,362058002397,362058002397,3620580,36,99,5,1,0.0
2002,62450003665,62450003665,624500,6,6,2,2,1.0
2013,40010702650,40010702650,400107,4,9,1,1,0.0
2012,60964010454,60964010454,609640,6,3,4,2,17.0
2018,320006000874,320006000874,3200060,32,99,3,1,127.0
2015,292892001852,292892001852,2928920,29,1,99,1,57.0
2018,360010302165,360010302165,3600103,36,8,99,9,0.0
2015,271710002563,271710002563,2717100,27,11,2,99,0.0
2008,180345001639,180345001639,1803450,18,3,7,2,-2.0
2011,200762000536,200762000536,2007620,20,5,4,99,0.0
2006,160234000834,160234000834,1602340,16,5,3,2,0.0
2010,10294001144,10294001144,102940,1,4,99,99,71.0
2014,210228000475,210228000475,2102280,21,1,2,1,0.0
2013,130519001859,130519001859,1305190,13,3,6,99,0.0
2018,481428010683,481428010683,4814280,48,3,6,2,0.0
