year,ncessch,ncessch_num,leaid,fips,grade,race,sex,enrollment
2009,428006007046,428006007046,4280060,42,12,3,1,0.0
2017,60861000860,60861000860,608610,6,3,4,1,1.0
2013,63417010303,63417010303,634170,6,3,7,2,0.0
2018,482566000118,482566000118,4825660,48,6,4,2,0.0
2012,317482000662,317482000662,3174820,31,3,4,1,0.0
2014,270007102403,270007102403,2700071,27,0,7,99,0.0
2013,490042001067,490042001067,4900420,49,99,2,2,5.0
2015,201026000773,201026000773,2010260,20,6,1,1,47.0
2010,62513009156,62513009156,625130,6,99,1,1,65.0
2005,62865004424,62865004424,628650,6,2,4,99,9.0
1999,80642001115,80642001115,806420,8,0,2,99,0.0
2018,63375005215,63375005215,633750,6,6,6,99,0.0
2002,40010302008,40010302008,400103,4,6,3,99,0.0
2013,90186001433,90186001433,901860,9,1,2,1,1.0
2016,160225001041,160225001041,1602250,16,7,9,99,0.0
2017,361752001565,361752001565,3617520,36,10,6,2,1.0
2005,390451001997,390451001997,3904510,39,-1,4,99,1.0
2005,130000100609,130000100609,1300001,13,4,4,2,0.0
2007,263447007009,263447007009,2634470,26,99,5,99,1.0
1998,240027001519,240027001519,2400270,24,0,4,99,7.0
2016,420279001367,420279001367,4202790,42,99,7,2,26.0
2011,64020000964,64020000964,640200,6,7,6,2,0.0
2016,450255000661,450255000661,4502550,45,-1,7,99,3.0
2010,260011900716,260011900716,2600119,26,11,5,2,0.0
2007,470453001894,470453001894,4704530,47,9,99,1,159.0
2016,220129000115,220129000115,2201290,22,3,1,2,
2014,510288001187,510288001187,5102880,51,2,7,2,1.0
2015,340153005442,340153005442,3401530,34,5,1,99,41.0
2001,173414003501,173414003501,1734140,17,99,2,99,1.0
1999,62100002519,62100002519,621000,6,12,99,1,207.0
2004,170393000080,170393000080,1703930,17,99,3,99,52.0
2012,370150000636,370150000636,3701500,37,3,5,2,1.0
2006,360504000243,360504000243,3605040,36,2,1,2,10.0
2015,120144007458,120144007458,1201440,12,10,5,99,0.0
2017,481970001926,481970001926,4819700,48,99,99,1,355.0
2007,421517002423,421517002423,4215170,42,4,2,1,4.0
2009,390478503012,390478503012,3904785,39,3,2,2,0.0
2002,63384005259,63384005259,633840,6,3,1,1,3.0
2009,422630006923,422630006923,4226300,42,99,99,1,359.0
2002,480870000238,480870000238,4808700,48,99,1,99,560.0
1991,483177003541,483177003541,4831770,48,99,2,99,22.0
2008,370150000623,370150000623,3701500,37,12,99,2,206.0
2017,60002707605,60002707605,600027,6,2,3,1,33.0
1999,362058001341,362058001341,3620580,36,11,2,1,9.0
2002,484122005816,484122005816,4841220,48,1,1,2,2.0
2002,80663001141,80663001141,806630,8,3,1,2,10.0
2009,510313002783,510313002783,5103130,51,-1,4,2,0.0
2000,480903000374,480903000374,4809030,48,5,4,99,0.0
2014,530576000855,530576000855,5305760,53,6,1,1,0.0
2018,40222002220,40222002220,402220,4,2,99,99,10.0
2010,120039002115,120039002115,1200390,12,1,2,1,6.0
2009,410470001766,410470001766,4104700,41,8,4,99,0.0
2009,191467000467,191467000467,1914670,19,99,99,1,42.0
2018,192187001310,192187001310,1921870,19,6,7,2,4.0
2017,540156001127,540156001127,5401560,54,3,7,2,1.0
2005,390017204784,390017204784,3900172,39,8,4,2,0.0
2016,340549005200,340549005200,3405490,34,0,99,99,136.0
2006,421917000345,421917000345,4219170,42,1,2,99,0.0
2017,62637010756,62637010756,626370,6,0,1,99,10.0
2003,390490503473,390490503473,3904905,39,10,5,99,0.0
1998,231450000725,231450000725,2314500,23,2,5,99,0.0
2007,180363002175,180363002175,1803630,18,5,3,1,1.0
2008,381305000451,381305000451,3813050,38,5,4,1,0.0
2011,120051000806,120051000806,1200510,12,99,1,1,356.0
2013,420978005023,420978005023,4209780,42,11,6,2,0.0
2012,40831000767,40831000767,408310,4,0,5,99,13.0
2009,10003000005,10003000005,100030,1,1,2,99,1.0
2012,280279000937,280279000937,2802790,28,5,99,1,103.0
2016,270013002498,270013002498,2700130,27,11,2,2,
2012,120087001023,120087001023,1200870,12,4,5,1,0.0
1998,62940004532,62940004532,629400,6,99,3,1,157.0
2008,291368000596,291368000596,2913680,29,99,99,2,45.0
2007,60006204234,60006204234,600062,6,1,1,1,34.0
2010,460696000352,460696000352,4606960,46,7,99,99,14.0
2007,62205009891,62205009891,622050,6,8,1,1,1.0
1998,483294003655,483294003655,4832940,48,11,5,2,0.0
2004,360690000482,360690000482,3606900,36,99,2,99,1.0
2003,481122007109,481122007109,4811220,48,11,1,99,0.0
2005,330465000266,330465000266,3304650,33,4,5,2,0.0
2012,272895001257,272895001257,2728950,27,-1,4,1,0.0
2006,422187004721,422187004721,4221870,42,9,1,2,230.0
2001,390451002013,390451002013,3904510,39,11,3,99,0.0
2017,261410005057,261410005057,2614100,26,99,4,1,1.0
2008,63432005556,63432005556,634320,6,1,7,2,0.0
2012,20062500293,20062500293,200625,2,0,7,2,0.0
2004,62244002692,62244002692,622440,6,8,5,2,0.0
2015,130375004143,130375004143,1303750,13,1,7,99,0.0
2006,260021901175,260021901175,2600219,26,0,1,2,11.0
2016,482985008487,482985008487,4829850,48,1,99,2,29.0
2008,62985004649,62985004649,629850,6,99,99,1,307.0
2009,470117000362,470117000362,4701170,47,0,6,99,0.0
2012,261770000087,261770000087,2617700,26,0,3,2,0.0
2007,317718001632,317718001632,3177180,31,7,1,2,12.0
2018,60185514028,60185514028,601855,6,5,5,2,0.0
2017,291640000887,291640000887,2916400,29,-1,99,2,0.0
2016,63375005203,63375005203,633750,6,99,99,99,389.0
2016,260097908133,260097908133,2600979,26,99,5,99,1.0
2017,421890002648,421890002648,4218900,42,3,4,99,0.0
2017,450144000201,450144000201,4501440,45,3,7,99,0.0
2001,390461902467,390461902467,3904619,39,1,2,1,0.0
2004,350150000384,350150000384,3501500,35,1,1,2,3.0
2008,210120000242,210120000242,2101200,21,5,5,99,0.0
1998,300886000253,300886000253,3008860,30,3,3,99,0.0
2010,80336000391,80336000391,803360,8,99,4,2,6.0
1997,80453001314,80453001314,804530,8,0,99,99,103.0
1998,411004000958,411004000958,4110040,41,10,4,99,0.0
2006,291830000980,291830000980,2918300,29,2,4,1,2.0
2007,330426000531,330426000531,3304260,33,8,5,1,0.0
2018,422514006446,422514006446,4225140,42,3,7,1,0.0
2013,192973001692,192973001692,1929730,19,10,4,2,0.0
2013,370045000163,370045000163,3700450,37,3,3,99,12.0
2014,120108001135,120108001135,1201080,12,5,7,2,0.0
2012,171185001407,171185001407,1711850,17,3,6,1,0.0
2001,720003001414,720003001414,7200030,72,1,1,1,0.0
2011,200001500459,200001500459,2000015,20,2,4,2,0.0
2008,370150000604,370150000604,3701500,37,10,7,2,-2.0
2006,63132004853,63132004853,631320,6,0,3,99,49.0
2000,64263006974,64263006974,642630,6,3,4,2,-1.0
2012,510081000304,510081000304,5100810,51,2,5,99,1.0
2016,403135001737,403135001737,4031350,40,15,9,99,0.0
1999,481739001501,481739001501,4817390,48,4,2,99,0.0
1998,173258003385,173258003385,1732580,17,10,5,1,1.0
2013,390023704675,390023704675,3900237,39,11,5,2,0.0
2014,530870002177,530870002177,5308700,53,10,2,99,0.0
2010,421779002955,421779002955,4217790,42,6,5,1,0.0
2018,263045006700,263045006700,2630450,26,-1,3,99,0.0
2015,192094001256,192094001256,1920940,19,11,5,99,2.0
2006,230687000175,230687000175,2306870,23,1,1,99,5.0
2011,483312003713,483312003713,4833120,48,99,7,2,8.0
2008,490036000209,490036000209,4900360,49,5,4,2,5.0
1988,240060001220,240060001220,2400600,24,15,99,99,23.0
2017,440105000357,440105000357,4401050,44,4,4,2,
2002,80249000109,80249000109,802490,8,99,1,2,18.0
2010,60861000879,60861000879,608610,6,99,5,2,1.0
2012,482391011268,482391011268,4823910,48,8,5,2,2.0
1998,261407005042,261407005042,2614070,26,0,5,99,0.0
2018,462256000958,462256000958,4622560,46,6,5,2,0.0
2013,482034002035,482034002035,4820340,48,5,4,1,0.0
2000,420828006160,420828006160,4208280,42,4,2,99,0.0
2017,361557001336,361557001336,3615570,36,12,7,99,0.0
2010,62271010890,62271010890,622710,6,11,99,2,40.0
2014,720003000538,720003000538,7200030,72,2,4,99,0.0
2011,62513009156,62513009156,625130,6,0,6,99,0.0
2008,170933000539,170933000539,1709330,17,6,99,1,28.0
2017,120081002753,120081002753,1200810,12,-1,3,99,7.0
2008,170783005957,170783005957,1707830,17,99,3,99,50.0
1998,251115002450,251115002450,2511150,25,15,4,99,0.0
2005,63963008998,63963008998,639630,6,3,99,99,85.0
2001,120168003265,120168003265,1201680,12,7,1,2,37.0
2009,421488004244,421488004244,4214880,42,1,4,1,0.0
2014,64251011906,64251011906,642510,6,9,99,2,16.0
2014,370096000370,370096000370,3700960,37,5,1,2,11.0
2006,483999005811,483999005811,4839990,48,3,4,99,0.0
2015,250936001502,250936001502,2509360,25,3,2,2,0.0
1998,120168001859,120168001859,1201680,12,0,4,1,0.0
2011,10201000766,10201000766,102010,1,4,1,99,9.0
2012,193201001866,193201001866,1932010,19,6,99,2,26.0
2013,260609001588,260609001588,2606090,26,10,3,1,3.0
2007,60162000009,60162000009,601620,6,4,4,2,27.0
2011,130369003832,130369003832,1303690,13,0,5,99,0.0
2003,540078000622,540078000622,5400780,54,6,99,1,16.0
2003,370192000789,370192000789,3701920,37,99,5,99,1.0
2008,360594000388,360594000388,3605940,36,1,1,1,37.0
1994,370472001895,370472001895,3704720,37,99,3,99,15.0
1999,590001400105,590001400105,5900014,59,7,99,99,-1.0
2008,340093003736,340093003736,3400930,34,99,6,99,0.0
2014,181272002022,181272002022,1812720,18,7,99,1,143.0
2003,360687000476,360687000476,3606870,36,2,99,1,29.0
1991,301149001019,301149001019,3011490,30,99,99,99,128.0
1993,390465602591,390465602591,3904656,39,99,99,99,316.0
2010,450144000224,450144000224,4501440,45,3,4,99,0.0
2015,490060000373,490060000373,4900600,49,99,1,1,195.0
2015,482364002417,482364002417,4823640,48,2,99,99,62.0
2006,63509005940,63509005940,635090,6,3,99,1,25.0
2000,370495002059,370495002059,3704950,37,4,4,99,1.0
2012,362307003232,362307003232,3623070,36,10,99,99,49.0
2002,40607001181,40607001181,406070,4,2,3,1,4.0
2013,370003000012,370003000012,3700030,37,-1,4,1,0.0
1999,390443801308,390443801308,3904438,39,4,5,2,0.0
2010,361329004246,361329004246,3613290,36,99,7,1,4.0
2004,120027002493,120027002493,1200270,12,1,1,2,44.0
2009,481623001233,481623001233,4816230,48,3,1,2,34.0
2002,381988000696,381988000696,3819880,38,99,99,1,187.0
2002,63738006318,63738006318,637380,6,6,5,2,0.0
2015,370033001923,370033001923,3700330,37,3,3,99,60.0
2008,220054000339,220054000339,2200540,22,5,3,99,0.0
2011,40065603223,40065603223,400656,4,99,7,2,0.0
2002,10248001051,10248001051,102480,1,6,1,1,31.0
2001,470042000131,470042000131,4700420,47,3,3,1,-1.0
2015,262469007557,262469007557,2624690,26,7,7,2,1.0
2003,720003001583,720003001583,7200030,72,3,5,2,0.0
2012,171179001380,171179001380,1711790,17,2,5,99,0.0
2013,240051001035,240051001035,2400510,24,2,2,1,27.0
2016,192868001660,192868001660,1928680,19,8,9,9,0.0
2000,401059001864,401059001864,4010590,40,5,5,99,3.0
2007,250279000323,250279000323,2502790,25,5,1,1,2.0
2018,510352001559,510352001559,5103520,51,3,6,2,0.0
2003,62805004274,62805004274,628050,6,6,1,99,0.0
2016,80612001060,80612001060,806120,8,-1,6,1,0.0
2008,361233000997,361233000997,3612330,36,6,99,2,113.0
2013,210299002187,210299002187,2102990,21,3,6,1,1.0
2011,10183000662,10183000662,101830,1,0,6,2,1.0
2003,481773001544,481773001544,4817730,48,99,5,99,1.0
2010,411191000368,411191000368,4111910,41,4,3,2,0.0
2012,260009200596,260009200596,2600092,26,9,99,99,46.0
2010,390513304079,390513304079,3905133,39,10,99,2,0.0
1997,490114000841,490114000841,4901140,49,99,99,99,597.0
1994,720003001341,720003001341,7200030,72,5,99,99,59.0
2000,390437800437,390437800437,3904378,39,6,3,99,0.0
2018,530802002068,530802002068,5308020,53,9,6,2,
2012,200984000374,200984000374,2009840,20,11,1,99,119.0
2015,410198001758,410198001758,4101980,41,0,99,99,90.0
2018,20048500199,20048500199,200485,2,1,5,1,3.0
2015,171353005311,171353005311,1713530,17,10,99,2,7.0
1999,440099000260,440099000260,4400990,44,7,4,99,2.0
2001,60002709495,60002709495,600027,6,0,4,99,2.0
2009,481014007089,481014007089,4810140,48,6,1,1,22.0
2012,341728004972,341728004972,3417280,34,99,7,1,0.0
2010,63441005585,63441005585,634410,6,7,1,1,19.0
2014,220087000682,220087000682,2200870,22,4,2,1,7.0
2000,481641001401,481641001401,4816410,48,4,1,2,142.0
2001,320048000367,320048000367,3200480,32,99,99,1,318.0
2017,61455001737,61455001737,614550,6,11,7,99,9.0
2008,120147002675,120147002675,1201470,12,-1,6,2,-2.0
2018,120156001651,120156001651,1201560,12,1,99,9,0.0
2017,466627001133,466627001133,4666270,46,2,6,99,0.0
